Quantity,Value
F_jib_total_COG.x,-91.70712793204143
F_jib_total_COG.y,359.58526712844827
F_jib_total_COG.z,-13.288600002238965
F_main_sail_total_COG.x,-103.83372765266799
F_main_sail_total_COG.y,394.2851253604909
F_main_sail_total_COG.z,-27.042975925040462
F_sails_total_COG.x,-181.6817457855538
F_sails_total_COG.y,701.9080192581923
F_sails_total_COG.z,-120.08986874617227
F_sails_total_COW.x,-242.16570665060624
F_sails_total_COW.y,683.4024398354586
F_sails_total_COW.z,-120.08986874617229
M_jib_total_COG.x,-397.37831298490545
M_jib_total_COG.y,-87.46319341483266
M_jib_total_COG.z,-469.0816195527348
M_keel_total_COG.x,-712.0184926981166
M_keel_total_COG.y,-180.73908425134562
M_keel_total_COG.z,20.80566980110489
M_keel_total_COW.x (heel),-693.5565982376825
M_keel_total_COW.y (pitch),-242.1078180503202
M_keel_total_COW.z (yaw - JG sign),-20.805669801104894
M_keel_total_COW.z (yaw),20.805669801104894
M_main_sail_total_COG.x,-688.6109754055149
M_main_sail_total_COG.y,-216.86903677308473
M_main_sail_total_COG.z,579.1537128682733
M_sails_total_COG.x,-3320.7560486189495
M_sails_total_COG.y,-839.6932123839811
M_sails_total_COG.z,-79.01802443448474
M_sails_total_COW.x (heel),-3234.9354836847997
M_sails_total_COW.y (pitch),-1125.9208861017116
M_sails_total_COW.z (yaw - JG sign),79.01802443448462
M_sails_total_COW.z (yaw),-79.01802443448462
M_total_COG.x,-4032.774541317066
M_total_COG.y,-1020.4322966353267
M_total_COG.z,-58.21235463337985
M_total_COW.x (heel),-3928.492081922482
M_total_COW.y (pitch),-1368.0287041520319
M_total_COW.z (yaw - JG sign),58.21235463337972
M_total_COW.z (yaw),-58.21235463337972
